"","Variance","Skewness","Kurtosis","Entropy","Class"
"1068",2,5,2,1,1
"1069",3,5,2,1,1
"1070",2,1,3,1,1
"1071",1,1,3,1,1
"1072",2,1,2,1,1
"1073",2,5,2,1,1
"1074",2,5,2,1,1
"1075",2,5,2,1,1
"1076",4,5,2,1,1
"1077",2,1,2,1,1
"1078",2,1,3,1,1
"1079",3,3,2,1,1
"1080",3,5,2,1,1
"1081",3,5,2,1,1
"1082",1,6,2,1,1
"1083",2,5,2,1,1
"1084",2,4,2,1,1
"1085",2,1,3,1,1
"1086",2,1,3,1,1
"1087",2,2,2,1,1
"1088",4,5,2,1,1
"1089",4,5,1,1,1
"1090",1,5,2,1,1
"1091",2,5,2,1,1
"1092",2,1,2,1,1
"1093",2,1,2,1,1
"1094",4,4,2,1,1
"1095",5,5,2,1,1
"1096",4,5,1,1,1
"1097",1,6,2,1,1
"1098",2,5,2,1,1
"1099",2,2,2,1,1
"1100",2,2,2,1,1
"1101",4,5,2,1,1
"1102",5,5,1,1,1
"1103",4,5,1,1,1
"1104",1,6,2,1,1
"1105",1,5,2,1,1
"1106",2,5,2,1,1
"1107",3,5,2,1,1
"1108",4,5,2,1,1
"1109",4,5,2,1,1
"1110",2,5,2,1,1
"1111",1,5,2,1,1
"1112",1,6,2,1,1
"1113",1,5,2,1,1
"1114",2,5,2,1,1
"1115",2,5,2,1,1
"1116",3,5,2,1,1
"1117",2,5,2,1,1
"1118",2,5,2,1,1
"1119",2,5,2,1,1
"1120",2,5,2,1,1
"1121",1,1,3,1,1
"1122",1,2,3,1,1
"1123",2,5,2,1,1
"1124",3,5,2,1,1
"1125",2,2,2,1,1
"1126",1,1,3,1,1
"1127",1,1,3,1,1
"1128",2,5,2,1,1
"1129",2,5,2,1,1
"1130",2,5,2,1,1
"1131",2,1,2,1,1
"1132",1,1,3,1,1
"1133",1,1,3,1,1
"1134",2,5,2,1,1
"1135",2,5,2,1,1
"1136",2,5,2,1,1
"1137",2,5,2,1,1
"1138",2,2,2,1,1
"1139",2,1,3,1,1
"1140",2,2,2,1,1
"1141",2,5,2,1,1
"1142",2,5,2,1,1
"1143",1,6,2,1,1
"1144",2,5,2,1,1
"1145",2,5,2,1,1
"1146",2,1,3,1,1
"1147",1,1,3,1,1
"1148",2,1,2,1,1
"1149",3,5,2,1,1
"1150",4,5,1,1,1
"1151",1,5,2,1,1
"1152",2,5,2,1,1
"1153",2,1,2,1,1
"1154",2,1,3,1,1
"1155",3,4,2,1,1
"1156",4,5,2,1,1
"1157",4,5,1,1,1
"1158",1,6,2,1,1
"1159",1,5,2,1,1
"1160",2,2,2,1,1
"1161",2,2,2,1,1
"1162",4,5,2,1,1
"1163",4,5,1,1,1
"1164",4,5,1,1,1
"1165",1,6,2,1,1
"1166",1,5,2,1,1
"1167",2,5,2,1,1
"1168",2,5,2,1,1
"1169",4,5,2,1,1
"1170",4,5,2,1,1
"1171",3,5,2,1,1
"1172",1,5,2,1,1
"1173",1,6,2,1,1
"1174",1,5,2,1,1
"1175",1,5,2,1,1
"1176",2,5,2,1,1
"1177",2,5,2,1,1
"1178",2,5,2,1,1
"1179",2,5,2,1,1
"1180",1,5,2,1,1
"1181",2,5,2,1,1
"1182",1,2,3,1,1
"1183",1,2,3,1,1
"1184",1,5,2,1,1
"1185",2,5,2,1,1
"1186",2,4,2,1,1
"1187",1,1,3,1,1
"1188",1,1,3,1,1
"1189",1,5,2,1,1
"1190",2,5,2,1,1
"1191",2,5,2,1,1
"1192",2,2,2,1,1
"1193",1,1,3,1,1
"1194",1,1,3,1,1
"1195",2,5,2,1,1
"1196",2,5,2,1,1
"1197",2,5,2,1,1
"1198",2,5,2,1,1
"1199",2,2,2,1,1
"1200",1,1,3,1,1
"1201",2,2,2,1,1
"1202",2,5,2,1,1
"1203",2,5,2,1,1
"1204",1,6,2,1,1
"1205",2,5,2,1,1
"1206",2,5,2,1,1
"1207",2,1,3,1,1
"1208",1,1,3,1,1
"1209",2,1,2,1,1
"1210",2,5,2,1,1
"1211",3,5,1,1,1
"1212",1,5,2,1,1
"1213",2,5,2,1,1
"1214",2,2,2,1,1
"1215",1,1,2,1,1
"1216",2,4,2,1,1
"1217",4,5,2,1,1
"1218",4,5,1,1,1
"1219",1,6,2,1,1
"1220",1,5,2,1,1
"1221",2,2,2,1,1
"1222",2,2,2,1,1
"1223",3,5,2,1,1
"1224",4,5,1,1,1
"1225",3,5,1,1,1
"1226",1,6,2,1,1
"1227",1,5,2,1,1
"1228",2,5,2,1,1
"1229",2,5,2,1,1
"1230",3,5,2,1,1
"1231",4,5,2,1,1
"1232",2,5,2,1,1
"1233",1,5,2,1,1
"1234",1,6,2,1,1
"1235",1,5,2,1,1
"1236",1,5,2,1,1
"1237",2,5,2,1,1
"1238",2,5,2,1,1
"1239",2,5,2,1,1
"1240",2,5,2,1,1
"1241",1,5,2,1,1
"1242",2,5,2,1,1
"1243",1,2,3,1,1
"1244",1,3,3,1,1
"1245",1,5,2,1,1
"1246",2,5,2,1,1
"1247",2,4,2,1,1
"1248",1,1,3,1,1
"1249",1,1,3,1,1
"1250",1,5,2,1,1
"1251",2,5,2,1,1
"1252",2,5,2,1,1
"1253",2,2,2,1,1
"1254",1,1,3,1,1
"1255",1,1,3,1,1
"1256",2,5,2,1,1
"1257",2,5,2,1,1
"1258",2,5,2,1,1
"1259",2,5,2,1,1
"1260",2,2,2,1,1
"1261",1,1,3,1,1
"1262",2,2,2,1,1
"1263",2,5,2,1,1
"1264",2,5,2,1,1
"1265",1,6,2,1,1
"1266",2,5,2,1,1
"1267",2,5,2,1,1
"1268",2,1,3,1,1
"1269",1,1,3,1,1
"1270",2,2,2,1,1
"1271",2,5,2,1,1
"1272",3,5,1,1,1
"1273",1,5,2,1,1
"1274",2,5,2,1,1
"1275",2,1,2,1,1
"1276",1,1,3,1,1
"1277",2,4,2,1,1
"1278",4,5,2,1,1
"1279",4,5,1,1,1
"1280",1,6,2,1,1
"1281",1,5,2,1,1
"1282",2,2,2,1,1
"1283",2,2,2,1,1
"1284",3,5,2,1,1
"1285",4,5,1,1,1
"1286",3,5,1,1,1
"1287",1,6,2,1,1
"1288",1,5,2,1,1
"1289",2,5,2,1,1
"1290",2,5,2,1,1
"1291",3,5,2,1,1
"1292",4,5,2,1,1
"1293",2,5,2,1,1
"1294",1,5,2,1,1
"1295",1,6,2,1,1
"1296",1,5,2,1,1
"1297",1,5,2,1,1
"1298",2,5,2,1,1
"1299",2,5,2,1,1
"1300",2,5,2,1,1
"1301",2,5,2,1,1
"1302",1,5,2,1,1
"1303",2,5,2,1,1
"1304",1,2,3,1,1
"1305",1,3,3,1,1
"1306",1,5,2,1,1
"1307",2,5,2,1,1
"1308",2,4,2,1,1
"1309",1,1,3,1,1
"1310",1,1,3,1,1
"1311",1,5,2,1,1
"1312",2,5,2,1,1
"1313",4,5,2,1,1
"1314",2,1,2,1,1
"1315",1,1,3,1,1
"1316",1,1,3,1,1
"1317",2,5,2,1,1
"1318",2,5,2,1,1
"1319",2,5,2,1,1
"1320",4,5,2,1,1
"1321",2,2,2,1,1
"1322",2,1,3,1,1
"1323",2,2,2,1,1
"1324",3,5,2,1,1
"1325",3,5,2,1,1
"1326",1,6,2,1,1
"1327",2,5,2,1,1
"1328",3,5,2,1,1
"1329",2,1,3,1,1
"1330",1,1,3,1,1
"1331",2,1,2,1,1
"1332",3,5,2,1,1
"1333",4,5,1,1,1
"1334",1,5,2,1,1
"1335",2,5,2,1,1
"1336",2,1,2,1,1
"1337",2,1,3,1,1
"1338",3,4,2,1,1
"1339",4,5,2,1,1
"1340",4,5,1,1,1
"1341",1,6,2,1,1
"1342",2,5,2,1,1
"1343",2,2,2,1,1
"1344",2,2,2,1,1
"1345",4,5,2,1,1
"1346",5,5,1,1,1
"1347",4,5,1,1,1
"1348",1,6,2,1,1
"1349",1,5,2,1,1
"1350",2,5,2,1,1
"1351",3,5,2,1,1
"1352",4,5,2,1,1
"1353",4,5,2,1,1
"1354",3,5,2,1,1
"1355",1,5,2,1,1
"1356",1,6,2,1,1
"1357",1,5,2,1,1
"1358",2,5,2,1,1
"1359",2,5,2,1,1
"1360",3,5,2,1,1
"1361",3,5,2,1,1
"1362",2,5,2,1,1
"1363",2,5,2,1,1
"1364",2,5,2,1,1
"1365",1,2,3,1,1
"1366",1,2,3,1,1
"1367",2,5,2,1,1
"1368",4,5,2,1,1
"1369",2,4,2,1,1
"1370",1,1,3,1,1
"1371",1,1,3,1,1
"1372",2,5,2,1,1
